# radius_AU intensity_Jy_per_sr
0.000000000000000000e+00 8.710879220808044347e-07
1.051051051051051094e-01 9.000964782207692931e-07
2.102102102102102188e-01 9.299105371775462411e-07
3.153153153153153143e-01 9.605463177610927089e-07
4.204204204204204376e-01 9.920201420703098730e-07
5.255255255255255609e-01 1.024348427443079648e-06
6.306306306306306286e-01 1.057547678058289616e-06
7.357357357357358074e-01 1.091634476187317074e-06
8.408408408408408752e-01 1.126625473092721640e-06
9.459459459459459429e-01 1.162537379572320946e-06
1.051051051051051122e+00 1.199386956147133452e-06
1.156156156156156189e+00 1.237191002892139527e-06
1.261261261261261257e+00 1.275966348909124959e-06
1.366366366366366325e+00 1.315729841441383041e-06
1.471471471471471615e+00 1.356498334630387696e-06
1.576576576576576683e+00 1.398288677915091966e-06
1.681681681681681750e+00 1.441117704074864914e-06
1.786786786786786818e+00 1.485002216917638611e-06
1.891891891891891886e+00 1.529958978615248756e-06
1.996996996996997176e+00 1.576004696688502809e-06
2.102102102102102243e+00 1.623156010644966742e-06
2.207207207207207311e+00 1.671429478273030897e-06
2.312312312312312379e+00 1.720841561596275825e-06
2.417417417417417447e+00 1.771408612492788521e-06
2.522522522522522515e+00 1.823146857984518251e-06
2.627627627627627582e+00 1.876072385202431570e-06
2.732732732732732650e+00 1.930201126033682921e-06
2.837837837837838162e+00 1.985548841457694167e-06
2.942942942942943230e+00 2.042131105578517118e-06
3.048048048048048297e+00 2.099963289361535193e-06
3.153153153153153365e+00 2.159060544083063253e-06
3.258258258258258433e+00 2.219437784502086120e-06
3.363363363363363501e+00 2.281109671763900151e-06
3.468468468468468568e+00 2.344090596046106028e-06
3.573573573573573636e+00 2.408394658957912516e-06
3.678678678678678704e+00 2.474035655704452108e-06
3.783783783783783772e+00 2.541027057028241457e-06
3.888888888888888840e+00 2.609381990940744069e-06
3.993993993993994351e+00 2.679113224257377322e-06
4.099099099099099419e+00 2.750233143950096525e-06
4.204204204204204487e+00 2.822753738332200394e-06
4.309309309309309555e+00 2.896686578090574035e-06
4.414414414414414622e+00 2.972042797181281791e-06
4.519519519519519690e+00 3.048833073604903439e-06
4.624624624624624758e+00 3.127067610078660265e-06
4.729729729729729826e+00 3.206756114622888324e-06
4.834834834834834894e+00 3.287907781080032817e-06
4.939939939939939961e+00 3.370531269584860147e-06
5.045045045045045029e+00 3.454634687005097941e-06
5.150150150150150097e+00 3.540225567372296071e-06
5.255255255255255165e+00 3.627310852323159547e-06
5.360360360360360232e+00 3.715896871572125492e-06
5.465465465465465300e+00 3.805989323436420579e-06
5.570570570570570368e+00 3.897593255435321100e-06
5.675675675675676324e+00 3.990713044985731267e-06
5.780780780780781392e+00 4.085352380216670540e-06
5.885885885885886459e+00 4.181514240925640670e-06
5.990990990990991527e+00 4.279200879700164159e-06
6.096096096096096595e+00 4.378413803228280111e-06
6.201201201201201663e+00 4.479153753821914700e-06
6.306306306306306730e+00 4.581420691177571640e-06
6.411411411411411798e+00 4.685213774398815976e-06
6.516516516516516866e+00 4.790531344305562379e-06
6.621621621621621934e+00 4.897370906055053783e-06
6.726726726726727001e+00 5.005729112099989625e-06
6.831831831831832069e+00 5.115601745509037650e-06
6.936936936936937137e+00 5.226983703675438428e-06
7.042042042042042205e+00 5.339868982439197420e-06
7.147147147147147273e+00 5.454250660648698255e-06
7.252252252252252340e+00 5.570120885187336257e-06
7.357357357357357408e+00 5.687470856491004163e-06
7.462462462462462476e+00 5.806290814581985885e-06
7.567567567567567544e+00 5.926570025644957291e-06
7.672672672672672611e+00 6.048296769170438065e-06
7.777777777777777679e+00 6.171458325691132755e-06
7.882882882882883635e+00 6.296040965136128990e-06
7.987987987987988703e+00 6.422029935827959827e-06
8.093093093093093771e+00 6.549409454147033186e-06
8.198198198198198838e+00 6.678162694887742466e-06
8.303303303303303906e+00 6.808271782330195488e-06
8.408408408408408974e+00 6.939717782051068616e-06
8.513513513513514042e+00 7.072480693496698212e-06
8.618618618618619109e+00 7.206539443340998935e-06
8.723723723723724177e+00 7.341871879650332539e-06
8.828828828828829245e+00 7.478454766876840120e-06
8.933933933933934313e+00 7.616263781701184084e-06
9.039039039039039380e+00 7.755273509744994737e-06
9.144144144144144448e+00 7.895457443172626945e-06
9.249249249249249516e+00 8.036787979201142780e-06
9.354354354354354584e+00 8.179236419536597540e-06
9.459459459459459651e+00 8.322772970754051765e-06
9.564564564564564719e+00 8.467366745637692555e-06
9.669669669669669787e+00 8.612985765496785972e-06
9.774774774774774855e+00 8.759596963472082010e-06
9.879879879879879923e+00 8.907166188846475375e-06
9.984984984984984990e+00 9.055658212372671626e-06
1.009009009009009006e+01 9.205036732629603622e-06
1.019519519519519513e+01 9.355264383418289539e-06
1.030030030030030019e+01 9.506302742206759827e-06
1.040540540540540526e+01 9.658112339632492934e-06
1.051051051051051033e+01 9.810652670069757805e-06
1.061561561561561540e+01 9.963882203267968547e-06
1.072072072072072046e+01 1.011775839706604368e-05
1.082582582582582553e+01 1.027223771118647831e-05
1.093093093093093060e+01 1.042727562211159910e-05
1.103603603603603567e+01 1.058282663904318459e-05
1.114114114114114074e+01 1.073884432094535424e-05
1.124624624624624758e+01 1.089528129466928627e-05
1.135135135135135265e+01 1.105208927415696905e-05
1.145645645645645772e+01 1.120921908071993221e-05
1.156156156156156278e+01 1.136662066438735678e-05
1.166666666666666785e+01 1.152424312631681200e-05
1.177177177177177292e+01 1.168203474225924476e-05
1.187687687687687799e+01 1.183994298706864027e-05
1.198198198198198305e+01 1.199791456024522220e-05
1.208708708708708812e+01 1.215589541249976620e-05
1.219219219219219319e+01 1.231383077332509493e-05
1.229729729729729826e+01 1.247166517955947072e-05
1.240240240240240333e+01 1.262934250492517890e-05
1.250750750750750839e+01 1.278680599052416012e-05
1.261261261261261346e+01 1.294399827627122521e-05
1.271771771771771853e+01 1.310086143324390184e-05
1.282282282282282360e+01 1.325733699692666342e-05
1.292792792792792866e+01 1.341336600132589084e-05
1.303303303303303373e+01 1.356888901393059324e-05
1.313813813813813880e+01 1.372384617149254679e-05
1.324324324324324387e+01 1.387817721659825333e-05
1.334834834834834894e+01 1.403182153500378109e-05
1.345345345345345400e+01 1.418471819370235817e-05
1.355855855855855907e+01 1.433680597969329423e-05
1.366366366366366414e+01 1.448802343941961423e-05
1.376876876876876921e+01 1.463830891884067898e-05
1.387387387387387427e+01 1.478760060410482854e-05
1.397897897897897934e+01 1.493583656278607502e-05
1.408408408408408441e+01 1.508295478564777526e-05
1.418918918918918948e+01 1.522889322889517703e-05
1.429429429429429455e+01 1.537358985687775495e-05
1.439939939939939961e+01 1.551698268520139523e-05
1.450450450450450468e+01 1.565900982420944285e-05
1.460960960960960975e+01 1.579960952279095928e-05
1.471471471471471482e+01 1.593872021247364940e-05
1.481981981981981988e+01 1.607628055175815547e-05
1.492492492492492495e+01 1.621222947064982498e-05
1.503003003003003002e+01 1.634650621534334766e-05
1.513513513513513509e+01 1.647905039301513167e-05
1.524024024024024015e+01 1.660980201667774017e-05
1.534534534534534522e+01 1.673870155005024202e-05
1.545045045045045029e+01 1.686568995239801498e-05
1.555555555555555536e+01 1.699070872329508955e-05
1.566066066066066043e+01 1.711369994726192806e-05
1.576576576576576727e+01 1.723460633823129339e-05
1.587087087087087234e+01 1.735337128379470226e-05
1.597597597597597741e+01 1.746993888918196486e-05
1.608108108108108070e+01 1.758425402092608569e-05
1.618618618618618754e+01 1.769626235016615598e-05
1.629129129129129083e+01 1.780591039554066512e-05
1.639639639639639768e+01 1.791314556562411894e-05
1.650150150150150097e+01 1.801791620085987333e-05
1.660660660660660781e+01 1.812017161494257944e-05
1.671171171171171110e+01 1.821986213560387711e-05
1.681681681681681795e+01 1.831693914475558688e-05
1.692192192192192124e+01 1.841135511794496536e-05
1.702702702702702808e+01 1.850306366307733828e-05
1.713213213213213137e+01 1.859201955836199736e-05
1.723723723723723822e+01 1.867817878943794587e-05
1.734234234234234151e+01 1.876149858563685963e-05
1.744744744744744835e+01 1.884193745534154231e-05
1.755255255255255165e+01 1.891945522039889540e-05
1.765765765765765849e+01 1.899401304954752799e-05
1.776276276276276178e+01 1.906557349082110719e-05
1.786786786786786863e+01 1.913410050288955636e-05
1.797297297297297547e+01 1.919955948530145166e-05
1.807807807807807876e+01 1.926191730759207896e-05
1.818318318318318561e+01 1.932114233722290024e-05
1.828828828828828890e+01 1.937720446631940221e-05
1.839339339339339574e+01 1.943007513717576995e-05
1.849849849849849903e+01 1.947972736649607203e-05
1.860360360360360588e+01 1.952613576834320193e-05
1.870870870870870917e+01 1.956927657576822355e-05
1.881381381381381601e+01 1.960912766109436400e-05
1.891891891891891930e+01 1.964566855483134406e-05
1.902402402402402615e+01 1.967888046319753880e-05
1.912912912912912944e+01 1.970874628422880610e-05
1.923423423423423628e+01 1.973525062245484017e-05
1.933933933933933957e+01 1.975837980212522853e-05
1.944444444444444642e+01 1.977812187896948125e-05
1.954954954954954971e+01 1.979446665047673122e-05
1.965465465465465655e+01 1.980740566468283697e-05
1.975975975975975985e+01 1.981693222745419184e-05
1.986486486486486669e+01 1.982304140825954535e-05
1.996996996996996998e+01 1.982573004442278624e-05
2.007507507507507682e+01 1.982499674385161166e-05
2.018018018018018012e+01 1.982084188623876560e-05
2.028528528528528696e+01 1.981326762273438960e-05
2.039039039039039025e+01 1.980227787408988556e-05
2.049549549549549710e+01 1.978787832727554717e-05
2.060060060060060039e+01 1.977007643057602230e-05
2.070570570570570723e+01 1.974888138716953222e-05
2.081081081081081052e+01 1.972430414719862000e-05
2.091591591591591737e+01 1.969635739834196228e-05
2.102102102102102066e+01 1.966505555489860826e-05
2.112612612612612750e+01 1.963041474539783924e-05
2.123123123123123079e+01 1.959245279874947520e-05
